timestamp,r,rOld,kp,ki,delta,irrigation_old,et0,opt_avg,obs_avg,daily_pluv,compensation,irrigation_error,scenario_id
1687503600,-0.19275698284205567,-0.19275698284205567,12,3,0.28,0.28,6.420277994663035,4.71830645976308,4.171978022369502,0.0,0,0.28,Minus_Plus_comp
1687590000,-0.14074850311186615,-0.14074850311186615,12,3,-0.7481437525733242,-0.7481437525733242,6.3387606045021405,4.71830645976308,4.284787033751313,0.0,0.28,-0.95,Minus_Plus_comp
1687676400,-0.0841034417631051,-0.0841034417631051,12,3,-0.12,-0.12,7.077332335884068,4.71830645976308,4.411117326727974,0.0,-0.33,-0.45,Minus_Plus_comp
1687762800,-0.031740405312148647,-0.031740405312148647,12,3,0.2331352214750314,0.2331352214750314,6.229180911248416,4.71830645976308,4.521414653005695,0.0,-0.37,-0.55,Minus_Plus_comp
1687849200,0.03148133976823322,0.03148133976823322,12,3,2.206240181744313,2.206240181744313,7.717627618312005,4.71830645976308,4.656619759649887,0.0,-0.65,0.47,Minus_Plus_comp
1687935600,0.08876273534601127,0.08876273534601127,12,3,3.6899051347156835,3.6899051347156835,8.190146658736474,4.71830645976308,4.77343822884762,0.0,-0.18,0.35,Minus_Plus_comp
1688022000,0.08452027761450949,0.08452027761450949,12,3,4.582556474781191,4.582556474781191,2.6534944981591777,4.71830645976308,4.759798468257894,0.0,0.09,0.78,Minus_Plus_comp
1688108400,0.10497576583197434,0.10497576583197434,12,3,3.7829496308866917,3.7829496308866917,7.8119211404442055,4.71830645976308,4.8103394346326604,0.0,0.53,-0.83,Minus_Plus_comp
1688194800,0.08541273301177418,0.08541273301177418,12,3,3.5444314360796123,3.5444314360796123,2.989408376370308,4.71830645976308,4.788808373883265,0.0,0.1,-0.16,Minus_Plus_comp
1688281200,0.07287441600923887,0.07287441600923887,12,3,2.742594880076905,2.742594880076905,3.6286065346203205,4.71830645976308,4.780158227442169,0.0,-0.07,-0.94,Minus_Plus_comp
1688367600,0.08810025206351985,0.08810025206351985,12,3,3.269605668918836,3.269605668918836,5.9091258835011,4.71830645976308,4.820863828471434,0.0,-0.64,-0.56,Minus_Plus_comp
1688454000,0.10880971949421728,0.10880971949421728,12,3,4.404548436569857,4.404548436569857,6.621532339824514,4.71830645976308,4.868975667483897,0.0,-0.55,0.01,Minus_Plus_comp
1688540400,0.11645670104487103,0.11645670104487103,12,3,4.395682318312315,4.395682318312315,6.395412175418061,4.71830645976308,4.893671087372226,0.0,-0.5,-0.95,Minus_Plus_comp
1688626800,0.13165831397012534,0.13165831397012534,12,3,4.8730766153257425,4.8730766153257425,7.492344925936937,4.71830645976308,4.931723071425082,5.0,-0.5,-0.6,Minus_Plus_comp
1688713200,0.09464749436757859,0.09464749436757859,12,3,5.522889263197917,5.522889263197917,3.3788724562330463,4.71830645976308,4.882256561327635,0.0,-0.51,0.3,Minus_Plus_comp
1688799600,0.08425588844111277,0.08425588844111277,12,3,6.1609576574036655,6.1609576574036655,6.518921569415171,4.71830645976308,4.877646832820576,0.0,-0.42,0.09,Minus_Plus_comp
1688886000,0.07689503357305427,0.07689503357305427,12,3,5.813312499706127,5.813312499706127,7.0675670514600375,4.71830645976308,4.877661339268762,0.0,-0.07,-0.56,Minus_Plus_comp
1688972400,0.07093990712486727,0.07093990712486727,12,3,6.194670703702483,6.194670703702483,6.961944041187434,4.71830645976308,4.877203684473939,0.0,-0.06,0.18,Minus_Plus_comp
1689058800,0.07141839924056155,0.07141839924056155,12,3,7.1346678068125,7.1346678068125,7.523781176422247,4.71830645976308,4.884749308425172,0.0,-0.1,0.62,Minus_Plus_comp
1689145200,0.06633226913843956,0.06633226913843956,12,3,6.202631053002355,6.202631053002355,7.806608352298979,4.71830645976308,4.884026557713628,0.0,0.08,-0.99,Minus_Plus_comp
1689231600,0.06524403780161943,0.06524403780161943,12,3,7.055304390365372,7.055304390365372,7.714035948667738,4.71830645976308,4.886356880477011,22.8,-0.06,0.61,Minus_Plus_comp
1689318000,-0.04249078478355752,-0.04249078478355752,12,3,5.955014164992576,5.955014164992576,2.9961159428327533,4.71830645976308,4.678556945515675,0.0,0.08,0.4,Minus_Plus_comp
1689404400,-0.07821878196264447,-0.07821878196264447,12,3,4.9616218529555995,4.9616218529555995,5.390782029334142,4.71830645976308,4.597381952802037,0.0,0.01,-0.32,Minus_Plus_comp
1689490800,-0.07612115620239876,-0.07612115620239876,12,3,3.838429893471351,3.838429893471351,7.1090569971804145,4.71830645976308,4.6009774389747555,0.0,0.23,-0.69,Minus_Plus_comp
1689577200,-0.06320260362904478,-0.06320260362904478,12,3,4.9138447134644645,4.9138447134644645,6.608581357186508,4.71830645976308,4.626311123720261,0.0,-0.2,0.91,Minus_Plus_comp
1689663600,-0.036449068229311474,-0.036449068229311474,12,3,4.82553993357333,4.82553993357333,7.5003116982488045,4.71830645976308,4.6808980507780875,0.0,-0.03,-0.33,Minus_Plus_comp
1689750000,-0.012758324414813204,-0.012758324414813204,12,3,4.3015538861028695,4.3015538861028695,7.063404491828016,4.71830645976308,4.72781377524667,0.0,-0.04,-0.81,Minus_Plus_comp
1689836400,0.02688043564683401,0.02688043564683401,12,3,4.127860313783138,4.127860313783138,7.949048805371062,4.71830645976308,4.801191542402531,0.0,-0.08,-0.81,Minus_Plus_comp
1689922800,0.04795654254386666,0.04795654254386666,12,3,5.8646432241791295,5.8646432241791295,6.202164075023188,4.71830645976308,4.8420607368936315,0.0,-0.65,0.69,Minus_Plus_comp
