timestamp,r,rOld,kp,ki,delta,irrigation_old,et0,opt_avg,obs_avg,daily_pluv,compensation,irrigation_error,scenario_id
1655967600,-0.17926033150068338,-0.17926033150068338,12,3,0.64,0.64,5.915965904891959,4.71830645976308,4.379369551572148,0.0,0,0.64,Plus_comp
1656054000,-0.13549075877404526,-0.13549075877404526,12,3,0.1487625963975215,0.1487625963975215,5.717907755951627,4.71830645976308,4.444105892401222,0.0,0.64,0.03,Plus_comp
1656140400,-0.06613314557528316,-0.06613314557528316,12,3,0.7226545180568174,0.7226545180568174,9.203948870710635,4.71830645976308,4.5757826211916575,0.0,0.34,0.28,Plus_comp
1656226800,0.005462388497823347,0.005462388497823347,12,3,1.4981880924275655,1.4981880924275655,9.569797117975432,4.71830645976308,4.713521431583202,0.0,0.32,0.22,Plus_comp
1656313200,0.06852034654672715,0.06852034654672715,12,3,3.020444628654592,3.020444628654592,8.693094774412245,4.71830645976308,4.830618926714829,0.0,0.18,0.74,Plus_comp
1656399600,0.10940758931361558,0.10940758931361558,12,3,4.1093143097980995,4.1093143097980995,7.460713537351751,4.71830645976308,4.900197381236089,1.6,0.41,0.68,Plus_comp
1656486000,0.08674354032690992,0.08674354032690992,12,3,4.437576342938361,4.437576342938361,1.8323231735051733,4.71830645976308,4.860576992593126,0.0,0.55,0.89,Plus_comp
1656572400,0.09623882568754517,0.09623882568754517,12,3,4.160236244328619,4.160236244328619,6.425725286268609,4.71830645976308,4.885564513090253,0.0,0.77,0.09,Plus_comp
1656658800,0.1190764816425502,0.1190764816425502,12,3,4.66151756071633,4.66151756071633,8.481182130641368,4.71830645976308,4.935103750009336,0.0,0.55,0.42,Plus_comp
1656745200,0.1466698022805145,0.1466698022805145,12,3,4.992646815213446,4.992646815213446,9.684100900879589,4.71830645976308,4.989094334258341,0.0,0.47,0.03,Plus_comp
1656831600,0.15398080879310205,0.15398080879310205,12,3,5.582321319743802,5.582321319743802,7.875822878948619,4.71830645976308,5.009136356326794,0.0,0.18,0.22,Plus_comp
1656918000,0.1640654328934029,0.1640654328934029,12,3,6.485533107627621,6.485533107627621,8.846129638751195,4.71830645976308,5.032618245532104,0.0,0.22,0.51,Plus_comp
1657004400,0.1609920644354386,0.1609920644354386,12,3,6.711628879438365,6.711628879438365,8.353871892123982,4.71830645976308,5.035603019277086,0.0,0.25,0.03,Plus_comp
1657090800,0.14715133463396546,0.14715133463396546,12,3,6.936994125722584,6.936994125722584,8.10868026961472,4.71830645976308,5.021719458503591,0.0,0.25,0.2,Plus_comp
1657177200,0.10610563575422026,0.10610563575422026,12,3,7.162762646428303,7.162762646428303,5.27960920736311,4.71830645976308,4.966541516861157,11.6,0.25,0.65,Plus_comp
1657263600,0.0713420262153763,0.0713420262153763,12,3,7.209625410608305,7.209625410608305,7.275206390354677,4.71830645976308,4.914449266487395,0.0,0.29,0.54,Plus_comp
1657350000,0.03249491844659152,0.03249491844659152,12,3,6.600944872722661,6.600944872722661,7.121172904786319,4.71830645976308,4.8504008890708805,0.0,0.46,0.22,Plus_comp
1657436400,0.01895629537596643,0.01895629537596643,12,3,6.61535028200306,6.61535028200306,7.612583271961939,4.71830645976308,4.822632672100733,0.0,0.47,0.59,Plus_comp
1657522800,0.022130839399572784,0.022130839399572784,12,3,7.079837328485054,7.079837328485054,8.472336750464112,4.71830645976308,4.825323503166216,0.0,0.45,0.81,Plus_comp
1657609200,0.014426426980760694,0.014426426980760694,12,3,6.500663660401591,6.500663660401591,7.4879930375083275,4.71830645976308,4.812289858965946,0.0,0.54,0.01,Plus_comp
1657695600,-0.006953054220944922,-0.006953054220944922,12,3,6.563250723318289,6.563250723318289,5.439558555641069,4.71830645976308,4.773920686694063,0.0,0.47,0.81,Plus_comp
1657782000,0.0025101600322584685,0.0025101600322584685,12,3,6.8443397744535055,6.8443397744535055,8.254676604732598,4.71830645976308,4.787707398470688,0.0,0.54,0.7,Plus_comp
1657868400,0.02669368128177978,0.02669368128177978,12,3,7.044623073293101,7.044623073293101,9.447916516172471,4.71830645976308,4.828024248565493,0.0,0.51,0.34,Plus_comp
1657954800,0.04074484653279403,0.04074484653279403,12,3,6.875471595903654,6.875471595903654,8.968687582898376,4.71830645976308,4.854628164667642,0.0,0.62,0.16,Plus_comp
1658041200,0.04222578437549623,0.04222578437549623,12,3,7.579920203142568,7.579920203142568,7.701644419417017,4.71830645976308,4.859093590180402,0.0,0.4,0.96,Plus_comp
1658127600,0.03460233355318251,0.03460233355318251,12,3,7.442245793934351,7.442245793934351,7.236620092977568,4.71830645976308,4.848255132241051,0.0,0.49,0.34,Plus_comp
1658214000,0.03694176659449647,0.03694176659449647,12,3,7.181144290213608,7.181144290213608,7.976539558735554,4.71830645976308,4.850402418236701,0.0,0.49,0.09,Plus_comp
1658300400,0.05319470085092911,0.05319470085092911,12,3,7.175763603843587,7.175763603843587,9.031637030513592,4.71830645976308,4.8748406234983275,0.0,0.46,0.1,Plus_comp
1658386800,0.06281707688913767,0.06281707688913767,12,3,8.149683346969503,8.149683346969503,8.523521442036436,4.71830645976308,4.89015982286185,0.0,0.18,0.85,Plus_comp
