timestamp,scenario_id,r,rOld,kp,ki,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
1625986800,2021,0.3582930533510734,0,12.940465344488242,3,5.711358000113663,0,7.909412676835701,4.71830645976308,5.076599513114154,0.0
1626073200,2021,0.48515925989776654,0.3582930533510734,12.940465344488242,3,8.808543529011132,5.711358000113663,8.171899400888595,4.71830645976308,5.203465719660847,0.0
1626159600,2021,0.3994455870702742,0.48515925989776654,12.940465344488242,3,8.897705477448987,8.808543529011132,7.307248568315713,4.71830645976308,5.117752046833354,49.2
1626246000,2021,-0.9341189704540047,0.3994455870702742,12.940465344488242,3,0,8.897705477448987,3.7200181370317593,4.71830645976308,3.7841874893090757,0.0
1626332400,2021,-0.6069602095258738,-0.9341189704540047,12.940465344488242,3,0,0,6.588938290136868,4.71830645976308,4.111346250237206,0.0
1626418800,2021,-0.4410489284636398,-0.6069602095258738,12.940465344488242,3,0,2.4127059793585706,4.2070949143533625,4.71830645976308,4.2772575312994405,10.799999999999999
1626505200,2021,-0.5989995219151831,-0.4410489284636398,12.940465344488242,3,0,3.236528376813139,1.7206288405645938,4.71830645976308,4.119306937847897,0.8
1626591600,2021,-0.4761657626691866,-0.5989995219151831,12.940465344488242,3,0,0,2.3398193330169916,4.71830645976308,4.242140697093894,0.0
1626678000,2021,-0.26893365444062434,-0.4761657626691866,12.940465344488242,3,0,0.16102871664847074,5.542148180411579,4.71830645976308,4.449372805322456,0.0
1626764400,2021,-0.07444273613640803,-0.26893365444062434,12.940465344488242,3,4.329382447847725,2.0359076681235444,6.336708517861463,4.71830645976308,4.643863723626672,0.0
1626850800,2021,0.005716031521837723,-0.07444273613640803,12.940465344488242,3,5.383822297351653,4.329382447847725,7.723088615724408,4.71830645976308,4.724022491284918,0.0
1626937200,2021,0.02010145888492207,0.005716031521837723,12.940465344488242,3,5.6302807982640655,5.383822297351653,6.384988487195638,4.71830645976308,4.738407918648003,0.0
1627023600,2021,0.03798651928863842,0.02010145888492207,12.940465344488242,3,5.975681360468352,5.6302807982640655,6.724001721462045,4.71830645976308,4.756292979051719,0.0
1627110000,2021,0.03754902369199653,0.03798651928863842,12.940465344488242,3,6.08266703493763,5.975681360468352,6.639604206034317,4.71830645976308,4.755855483455076,0.0
1627196400,2021,0.0207446167565592,0.03754902369199653,12.940465344488242,3,5.9274440396246035,6.08266703493763,6.068344799075018,4.71830645976308,4.739051076519639,0.0
1627282800,2021,-0.038301545649090274,0.0207446167565592,12.940465344488242,3,5.048454584342001,5.9274440396246035,3.7441148307248353,4.71830645976308,4.68000491411399,0.0
1627369200,2021,-0.02889572167685514,-0.038301545649090274,12.940465344488242,3,5.083483158460501,5.048454584342001,5.25782491390273,4.71830645976308,4.6894107380862255,1.0
1627455600,2021,-0.07706420687562666,-0.02889572167685514,12.940465344488242,3,4.228967924422424,5.083483158460501,4.067188753317478,4.71830645976308,4.641242252887453,0.0
1627542000,2021,-0.03272918101672028,-0.07706420687562666,12.940465344488242,3,4.704496247046431,4.228967924422424,5.501441403272102,4.71830645976308,4.68557727874636,0.0
1627628400,2021,0.03512897536779884,-0.03272918101672028,12.940465344488242,3,5.687999294184561,4.704496247046431,7.363960029273559,4.71830645976308,4.753435435130879,0.0
1627714800,2021,0.07979240020967576,0.03512897536779884,12.940465344488242,3,6.5053419961460515,5.687999294184561,8.127164249908118,4.71830645976308,4.798098859972756,0.0
1627801200,2021,-0.11603161080838857,0.07979240020967576,12.940465344488242,3,3.62319333552294,6.5053419961460515,7.011084171391055,4.71830645976308,4.602274848954692,9.0
1627887600,2021,-0.061941452401761396,-0.11603161080838857,12.940465344488242,3,4.137320798656495,3.62319333552294,7.304828236834061,4.71830645976308,4.656365007361319,0.0
1627974000,2021,0.021252667751760563,-0.061941452401761396,12.940465344488242,3,5.277649430623618,4.137320798656495,7.320018177389831,4.71830645976308,4.739559127514841,0.0
1628060400,2021,0.08052826719103663,0.021252667751760563,12.940465344488242,3,6.286288072514447,5.277649430623618,8.239496207860649,4.71830645976308,4.798834726954117,0.0
1628146800,2021,0.013909610212523307,0.08052826719103663,12.940465344488242,3,5.465940481225216,6.286288072514447,4.198759507591638,4.71830645976308,4.732216069975603,0.0
1628233200,2021,0.0813017421870546,0.013909610212523307,12.940465344488242,3,6.58193125609398,5.465940481225216,8.25634687060054,4.71830645976308,4.799608201950135,0.0
1628319600,2021,0.08569954080577025,0.0813017421870546,12.940465344488242,3,6.895939439128818,6.58193125609398,7.823891414052509,4.71830645976308,4.80400600056885,0.0
1628406000,2021,0.06408503814189458,0.08569954080577025,12.940465344488242,3,6.808492830894269,6.895939439128818,6.8058425683475985,4.71830645976308,4.782391497904975,0.0
1628492400,2021,0.0858291479146601,0.06408503814189458,12.940465344488242,3,7.34735917359947,6.808492830894269,8.235329351972808,4.71830645976308,4.804135607677741,0.0
1655967600,2022,-0.3737917883818918,0,12.940465344488242,3,0,0,5.915965904891959,4.71830645976308,4.344514671381188,0.0
1656054000,2022,-0.12995157449243583,-0.3737917883818918,12.940465344488242,3,2.765551113951798,0,5.717907755951627,4.71830645976308,4.588354885270644,0.0
1656140400,2022,0.04594879946258054,-0.12995157449243583,12.940465344488242,3,5.179630205586951,2.765551113951798,9.203948870710635,4.71830645976308,4.764255259225661,0.0
1656226800,2022,0.12620883795721666,0.04594879946258054,12.940465344488242,3,6.596858966145732,5.179630205586951,9.569797117975432,4.71830645976308,4.844515297720297,0.0
